#separator:tab
#html:true
#notetype:Basic
#deck:TS Programming language
#columns:Front	Back
What does <code>strictNullChecks</code> do in TypeScript? Give an example.	<code>null / undefined</code> become distinct types: <code>string</code> rejects them until you add <code>| null | undefined</code> and narrow first.<br><br><pre><code>// with strictNullChecks<br>function f(s?: string) {<br> // s.toUpperCase(); // Error: possibly undefined<br> if (s) return s.toUpperCase();<br>}</code></pre>
What do <code>strict / noImplicitAny / noImplicitThis</code> do in TypeScript? Give an example.	<code>strict</code> enables the safe family. <code>noImplicitAny</code> bans inferred <code>any</code>; <code>noImplicitThis</code> forces explicit <code>this</code> typing.<br><br><pre><code>function f(this: { x: number }) { return this.x; }<br>// f(); // Error: wrong this<br>// (x) =&gt; x + 1; // Error under noImplicitAny (x implicitly any)</code></pre>
What does <code>strictFunctionTypes</code> change (method bivariance pitfall)? Give an example.	Function-type params become <b>contravariant</b> (strict), but <code>class / object methods</code> stay bivariant for convenience — an unsound hole to know.<br><br><pre><code>type F = (x: string | number) =&gt; void;<br>const f: F = (x: string) =&gt; {}; // Error under strictFunctionTypes<br>interface O { m(x: string | number): void }<br>const o: O = { m(x: string) {} }; // ok: methods bivariant</code></pre>
What does <code>exactOptionalPropertyTypes</code> do in TypeScript? Give an example.	Optional <code>prop?: T</code> no longer accepts explicit <code>undefined</code> unless you write <code>T | undefined</code>. Distinguishes missing from undefined.<br><br><pre><code>interface U { name?: string } // missing ok, undefined Error when exact<br>// const u: U = { name: undefined }; // Error<br>interface V { name?: string | undefined } // both ok</code></pre>
What does <code>noUncheckedIndexedAccess</code> do in TypeScript? Give an example.	Index signatures and array access include <code>| undefined</code>, forcing a check. Recommended in new <code>tsc --init</code>.<br><br><pre><code>const m: Record&lt;string, number&gt; = {};<br>const n = m['k']; // number | undefined<br>if (n !== undefined) n.toFixed(); // narrow first</code></pre>
What do <code>?. / ?? / ??=</code> do in TypeScript? Give an example.	<code>?.</code> short-circuits on nullish; <code>??</code> defaults only on <code>null / undefined</code> (unlike <code>||</code>); <code>??=</code> assigns only if nullish. They narrow like truthiness checks.<br><br><pre><code>let u: { n?: string } | undefined;<br>u?.n ?? 'anon'; // 'anon' when missing<br>let c: string | undefined; c ??= 'x'; // assign if nullish</code></pre>
What does definite assignment assertion (<code>!: </code>) do in TypeScript? Give an example.	Tells TS a field / variable is assigned later (e.g. framework init), silencing <code>strictPropertyInitialization</code>. No runtime check — lies throw at runtime.<br><br><pre><code>class C { name!: string; init(n: string) { this.name = n; } }<br>let x!: number; x = 1; x.toFixed(); // ok</code></pre>
What does <code>useUnknownInCatchVariables</code> do in TypeScript? Give an example.	<code>catch (e)</code> is <code>unknown</code> (not <code>any</code>) under <code>strict</code>: narrow or assert before use. Models throws of anything.<br><br><pre><code>try { JSON.parse('x'); } catch (e) {<br> if (e instanceof Error) console.log(e.message);<br>}</code></pre>
What does <code>as const</code> + <code>readonly</code> modifier do in TypeScript? Give an example.	<code>as const</code> infers narrowest literals + readonly; <code>readonly</code> bans reassignment (shallow only — use <code>Readonly / DeepReadonly</code> for depth).<br><br><pre><code>const cfg = { mode: 'dev', tags: ['a'] } as const;<br>// cfg.mode = 'prod'; // Error<br>interface U { readonly id: string }</code></pre>
What do <code>bigint / symbol / unique symbol / object</code> do in TypeScript? Give an example.	<code>bigint</code> for huge ints (<code>10n</code>); <code>symbol</code> for unique keys, <code>unique symbol</code> for branded constants; <code>object</code> = non-primitive (prefer precise shapes).<br><br><pre><code>const big: bigint = 10n;<br>const k: unique symbol = Symbol('k');<br>function f(o: object) {} // not string | number</code></pre>
How do you simulate <code>nominal / branded</code> types in structural TypeScript? Give an example.	Intersect with a phantom <code>__brand</code> so identical shapes are no longer interchangeable (e.g. <code>UserId</code> vs <code>string</code>). Cast once at creation.<br><br><pre><code>type UserId = string &amp; { readonly __brand: 'UserId' };<br>function makeId(s: string) { return s as UserId; }<br>function get(u: UserId) {}<br>// get('x'); // Error: not branded</code></pre>
What is the difference between <code>void vs undefined vs never</code> returns? Give an example.	<code>void</code>: returns nothing useful (callbacks may return anything); <code>undefined</code>: one exact value; <code>never</code>: never returns (throws / infinite loop).<br><br><pre><code>type F = () =&gt; void; const f: F = () =&gt; 1; // ok: ignored<br>function g(): undefined { return undefined; }<br>function fail(m: string): never { throw new Error(m); }</code></pre>
How do you type <code>Promise / async / Promise.all</code> in TypeScript? Give an example.	<code>async</code> always returns <code>Promise&lt;T&gt;</code>; <code>await</code> unwraps to <code>Awaited&lt;T&gt;</code>. <code>Promise.all</code> preserves tuple types.<br><br><pre><code>async function f(): Promise&lt;number&gt; { return 1; }<br>const n = await f(); // number<br>const [a, b] = await Promise.all([f(), Promise.resolve('x')]); // [number, string]</code></pre>
What are <code>inferred type predicates</code> (TS 5.5+) in TypeScript? Give an example.	<code>filter</code> + a function returning <code>x is T</code> narrows the result array; 5.5 also infers simple guards so explicit predicates are often unnecessary.<br><br><pre><code>const xs: (string | null)[] = ['a', null];<br>const ys = xs.filter((x): x is string =&gt; x !== null); // string[]<br>const zs = xs.filter(x =&gt; x !== null); // also string[] in 5.5+</code></pre>
What do <code>import type / verbatimModuleSyntax / isolatedModules</code> do? Give an example.	Separate type-only imports so bundlers / <code>erasableSyntaxOnly</code> can strip them safely; each file is transpiled in isolation.<br><br><pre><code>import type { User } from './user';<br>import { type Role, run } from './lib';<br>// tsconfig: "verbatimModuleSyntax": true, "isolatedModules": true</code></pre>
What are default vs named vs re-exports (<code>export = / import =</code> legacy)? Give an example.	Prefer named + default ESM; <code>export * from</code> re-exports. Legacy <code>export = / import = require()</code> is CommonJS interop and non-erasable.<br><br><pre><code>// lib.ts: export const a = 1; export default function f() {}<br>import f, { a } from './lib';<br>export * from './lib'; // re-export<br>// legacy: export = f; import f = require('./lib');</code></pre>
What do <code>module / moduleResolution / moduleDetection / target / lib</code> do? Give an example.	<code>module: nodenext</code> = Node ESM/CJS rules; <code>moduleResolution: bundler</code> for Vite/webpack; <code>moduleDetection: force</code> treats every file as module; <code>target/lib: esnext</code> = modern runtime APIs.<br><br><pre><code>// tsconfig.json<br>{ "compilerOptions": { "module": "nodenext", "target": "esnext", "moduleDetection": "force" } }</code></pre>
What are <code>declare / .d.ts / @types</code> in TypeScript? Give an example.	<code>declare</code> describes existing JS shapes with no emit; <code>.d.ts</code> files hold them; <code>@types/node</code> ships Node globals. Pair with <code>libReplacement</code> for DOM lib swaps.<br><br><pre><code>// globals.d.ts<br>declare const VERSION: string;<br>declare module '*.css'; // npm i -D @types/node</code></pre>
What does <code>erasableSyntaxOnly</code> (TS 5.8+) do? Give an example.	Errors on runtime-emitting TS syntax so Node 22.6+ / 23.6+ can strip types and run directly. Bans <code>enum</code>, namespaces with code, param props, <code>import = / export =</code>.<br><br><pre><code>// tsconfig: "erasableSyntaxOnly": true, "verbatimModuleSyntax": true<br>// enum D { Up } // Error: not erasable<br>// constructor(private x: number) {} // Error</code></pre>
How do you replace <code>enum</code> with erasable syntax? Give an example.	Use an <code>as const</code> object + union of values: fully erasable, works with <code>erasableSyntaxOnly</code> + Node strip-types, keeps autocomplete.<br><br><pre><code>const Dir = { Up: 'UP', Down: 'DOWN' } as const;<br>type Dir = typeof Dir[keyof typeof Dir]; // 'UP' | 'DOWN'<br>function go(d: Dir) {} go(Dir.Up); // ok</code></pre>
What is <code>import defer * as ns</code> (TS 5.9+) in TypeScript? Give an example.	Deferred module evaluation: loads dependencies but delays execution until an export is first accessed. Namespace-only, never downleveled.<br><br><pre><code>import defer * as feat from './feature.js';<br>// no side effects yet...<br>console.log(feat.value); // module evaluates here</code></pre>
What does the new <code>tsc --init</code> (TS 5.9+) generate? Give an example.	Minimal <code>nodenext + esnext + strict</code> scaffold with <code>noUncheckedIndexedAccess + exactOptionalPropertyTypes + verbatimModuleSyntax + isolatedModules + moduleDetection: force + skipLibCheck</code> + source/declaration maps.<br><br><pre><code>// tsc --init → tsconfig.json<br>{ "compilerOptions": { "module": "nodenext", "target": "esnext", "strict": true,<br> "noUncheckedIndexedAccess": true, "exactOptionalPropertyTypes": true } }</code></pre>
What did TS 5.8 change about <code>return cond ? a : b</code> checking? Give an example.	Each ternary branch is checked against the declared return type, so the error points at the bad branch instead of the whole return.<br><br><pre><code>function f(ok: boolean): number {<br> return ok ? 200 : '404'; // Error on '404' (5.8: precise location)<br>}</code></pre>
What does <code>const enum</code> do vs regular <code>enum</code>? What are its caveats? Give an example.	<code>const enum</code> inlines values at compile time (no runtime object, faster). Caveats: needs type info so it breaks under <code>isolatedModules</code> (transpile-only/bundlers error), cannot be used across untyped boundaries, harder to debug, banned by <code>erasableSyntaxOnly</code>.<br><br><pre><code>const enum D { Up, Down }<br>const d = D.Up; // inlined to 0, no D object emitted<br>// tsconfig isolatedModules: true → Error with const enum</code></pre>
What are numeric <code>enum</code> pitfalls (reverse mapping, heterogeneous, out-of-range)? Give an example.	Numeric enums emit a two-way map (<code>D[0] === 'Up'</code>), accept any number (no exhaustiveness), and allow mixed string/number members. Prefer string enums or unions for safety.<br><br><pre><code>enum D { Up, Down }<br>D[0]; // 'Up' (reverse map surprise)<br>const d: D = 99; // ok (!) — no error<br>// enum Mixed { A = 'a', B = 1 } // heterogeneous — avoid</code></pre>
When should you use <code>enum</code> vs string union vs <code>as const</code> object? Give an example.	<code>enum</code>: legacy / numeric / cross-language parity, but non-erasable. String union: light APIs, erasable, best inference. <code>as const</code> object + union: erasable + runtime values + autocomplete (recommended default).<br><br><pre><code>type DirU = 'UP' | 'DOWN'; // light, erasable<br>const Dir = { Up: 'UP', Down: 'DOWN' } as const;<br>type Dir = typeof Dir[keyof typeof Dir]; // runtime + type, erasable<br>enum DirE { Up = 'UP', Down = 'DOWN' } // runtime object, not erasable</code></pre>
